@relation bi-variate
@attribute xx real
@attribute yy real
@attribute which_one {first,second}


@data
86.10361039175372,59.24910322366118,first
83.82719778748562,89.80550792782968,second
79.70639110329519,57.41075941954846,first
58.84370445613358,67.88372059020513,second
63.64220841268518,61.15922098240532,first
70.93200391616358,86.27062530422738,second
55.489752353521965,63.7912359932502,first
93.86768481016446,85.68803323333296,second
72.45669822677542,51.23543430713688,first
95.53894498208228,82.31636083563147,second
73.58619468859752,67.15208457878192,first
105.26271380273833,70.469749673421,second
82.9801684787561,69.40994959228489,first
69.04649568279575,78.4626561249212,second
50.446294151564814,53.75885177386098,first
68.71168072590588,65.5734501596638,second
50.725806946766,48.42088687813569,first
87.12419062054289,77.94111697378784,second
82.08991100416134,59.47276044582286,first
82.43212146246506,71.6659541536068,second
